               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  76,            0.022059,           0.0054458,          1.8445e-05,            0.019615,                   0,                   0,                   0,                   0,                   0,             0.02368,                   0,                   0,           0.0031716,           0.0031716,           0.0031716
                  77,            0.021364,           0.0054625,          1.4965e-05,            0.019408,                   0,                   0,                   0,                   0,                   0,            0.025193,                   0,                   0,           0.0030841,           0.0030841,           0.0030841
                  78,            0.021211,           0.0052812,          1.5887e-05,            0.019377,                   0,                   0,                   0,                   0,                   0,            0.023837,                   0,                   0,           0.0029996,           0.0029996,           0.0029996
                  79,            0.022012,           0.0054691,          1.5126e-05,            0.019278,                   0,                   0,                   0,                   0,                   0,            0.024632,                   0,                   0,           0.0029179,           0.0029179,           0.0029179
                  80,            0.021134,           0.0054997,          1.5251e-05,            0.019299,                   0,                   0,                   0,                   0,                   0,            0.025424,                   0,                   0,           0.0028394,           0.0028394,           0.0028394
                  81,            0.021123,           0.0051855,          1.4785e-05,            0.019174,                   0,                   0,                   0,                   0,                   0,            0.024621,                   0,                   0,           0.0027639,           0.0027639,           0.0027639
                  82,            0.021364,           0.0053015,           1.337e-05,            0.019099,                   0,                   0,                   0,                   0,                   0,            0.026642,                   0,                   0,           0.0026917,           0.0026917,           0.0026917
                  83,            0.020553,           0.0051838,          1.4021e-05,            0.019071,                   0,                   0,                   0,                   0,                   0,            0.027234,                   0,                   0,           0.0026227,           0.0026227,           0.0026227
                  84,             0.02094,           0.0052095,          1.1853e-05,            0.018887,                   0,                   0,                   0,                   0,                   0,            0.026648,                   0,                   0,            0.002557,            0.002557,            0.002557
                  85,            0.020943,           0.0053056,          1.2569e-05,            0.018923,                   0,                   0,                   0,                   0,                   0,            0.024789,                   0,                   0,           0.0024948,           0.0024948,           0.0024948
                  86,            0.020678,           0.0052022,          1.2722e-05,            0.018847,                   0,                   0,                   0,                   0,                   0,            0.025013,                   0,                   0,            0.002436,            0.002436,            0.002436
                  87,            0.020626,           0.0052507,           1.185e-05,            0.018794,                   0,                   0,                   0,                   0,                   0,             0.02621,                   0,                   0,           0.0023807,           0.0023807,           0.0023807
                  88,            0.020714,           0.0052899,          1.0977e-05,            0.018714,                   0,                   0,                   0,                   0,                   0,            0.025996,                   0,                   0,            0.002329,            0.002329,            0.002329
                  89,            0.020208,           0.0050003,           1.103e-05,            0.018657,                   0,                   0,                   0,                   0,                   0,            0.026043,                   0,                   0,           0.0022809,           0.0022809,           0.0022809
                  90,            0.020526,            0.005187,          1.1308e-05,            0.018667,                   0,                   0,                   0,                   0,                   0,            0.024507,                   0,                   0,           0.0022365,           0.0022365,           0.0022365
                  91,            0.020507,           0.0052075,          1.1267e-05,            0.018588,                   0,                   0,                   0,                   0,                   0,            0.025634,                   0,                   0,           0.0021958,           0.0021958,           0.0021958
                  92,            0.020713,           0.0051136,          1.1469e-05,             0.01857,                   0,                   0,                   0,                   0,                   0,            0.028131,                   0,                   0,           0.0021588,           0.0021588,           0.0021588
                  93,            0.020229,            0.005134,          1.0804e-05,            0.018523,                   0,                   0,                   0,                   0,                   0,            0.025228,                   0,                   0,           0.0021257,           0.0021257,           0.0021257
                  94,            0.020002,           0.0050846,          9.8466e-06,            0.018415,                   0,                   0,                   0,                   0,                   0,            0.025874,                   0,                   0,           0.0020963,           0.0020963,           0.0020963
                  95,            0.020283,           0.0052968,           1.053e-05,            0.018441,                   0,                   0,                   0,                   0,                   0,            0.025521,                   0,                   0,           0.0020709,           0.0020709,           0.0020709
                  96,              0.0205,           0.0052924,          9.3813e-06,            0.018316,                   0,                   0,                   0,                   0,                   0,            0.025589,                   0,                   0,           0.0020492,           0.0020492,           0.0020492
                  97,            0.020312,           0.0051567,          9.8785e-06,            0.018307,                   0,                   0,                   0,                   0,                   0,             0.02622,                   0,                   0,           0.0020315,           0.0020315,           0.0020315
                  98,            0.020725,           0.0052666,          9.6206e-06,            0.018274,                   0,                   0,                   0,                   0,                   0,            0.028336,                   0,                   0,           0.0020178,           0.0020178,           0.0020178
                  99,            0.020687,           0.0051976,          9.7286e-06,            0.018238,                   0,                   0,                   0,                   0,                   0,             0.02697,                   0,                   0,           0.0020079,           0.0020079,           0.0020079
